,OrderID,Customer,Restaurant,FoodCategory,OrderAmount,DeliveryMinutes,Rating,City,DeliverySpeed
0,1001,Ravi,Saravana Bhavan,South Indian,427.14285714285717,28,4.5,Chennai,Normal
1,1002,Divya,Pizza Hub,Fast Food,550.0,35,4.055555555555555,Chennai,Normal
2,1003,Karthik,Anjappar,South Indian,427.14285714285717,40,4.2,Madurai,Normal
3,1004,Meena,Burger Point,Fast Food,550.0,22,4.0,Puducherry,Fast
4,1005,Suresh,Sweet Corner,Desserts,165.0,18,4.8,Chennai,Fast
5,1006,Priya,Saravana Bhavan,South Indian,427.14285714285717,25,4.3,Chennai,Fast
6,1007,Ramesh,Anjappar,South Indian,427.14285714285717,45,3.9,Madurai,Slow
7,1008,Kavya,Pizza Hub,Fast Food,550.0,50,3.5,Chennai,Slow
8,1009,Vignesh,Sweet Corner,Desserts,165.0,15,4.055555555555555,Puducherry,Fast
9,1010,Anitha,Burger Point,Fast Food,550.0,20,4.1,Puducherry,Fast
10,1011,Bala,Saravana Bhavan,South Indian,427.14285714285717,30,4.4,Chennai,Normal
11,1012,Deepa,Anjappar,South Indian,427.14285714285717,55,3.2,Madurai,Slow
12,1013,Ganesh,Pizza Hub,Fast Food,550.0,33,4.0,Chennai,Normal
13,1014,Harini,Sweet Corner,Desserts,165.0,12,4.9,Puducherry,Fast
14,1015,Ilamurugan,Burger Point,Fast Food,550.0,60,2.8,Puducherry,Slow
15,1016,Jaya,Saravana Bhavan,South Indian,427.14285714285717,27,4.6,Chennai,Normal
16,1017,Manoj,Anjappar,South Indian,427.14285714285717,42,3.8,Madurai,Slow
17,1018,Lakshmi,Pizza Hub,Fast Food,550.0,38,4.1,Chennai,Normal
18,1019,Karthika,Sweet Corner,Desserts,165.0,16,4.7,Puducherry,Fast
19,1020,Deepa,Anjappar,South Indian,427.14285714285717,55,3.2,Madurai,Slow
